"","Fibroblast_1","Fibroblast_2","SHSY5Y_1","SHSY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA3",222.708846347405,199.96439633197,3916.11267404246,3905.57521808189,2061.09028370093,4.21009452031598,0.119814594684699,35.1384114046803,1.74735389667747e-270,6.14431854682612e-269
"ATP13A2",0,0,11.4752276051254,16.9105795705179,7.09645179391083,5.89540274832541,1.92935206642117,3.05563865244202,0.00224581737303996,0.0037802737625085
"LAPTM4B",1612.35995191864,1671.96037191118,7521.62918757285,7529.05122241923,4583.75018345548,2.19612977974755,0.0750636224259448,29.2569117872532,3.66739552395249e-188,8.84759170153538e-187
"NSG1",9.11673640018618,18.0613003138554,430.703542779039,420.458501139696,219.585020158194,4.96714462684309,0.392043671866657,12.6698757900945,8.68518118082441e-37,4.92353528621902e-36
"NSG2",0,0,7705.99784442853,7712.76160957167,3854.68986350005,14.9807397480206,1.44462967294795,10.3699515720527,3.39696870125538e-25,1.49273263705359e-24
"PRKAR1B",715.012611957459,666.978018733087,2998.8594808061,3043.13565998547,1855.99644287053,2.12835291056504,0.101685102745769,20.9308232287112,2.80608304795511e-97,3.44851769077204e-96
"SLC2A4",0,6.45046439780549,69.6163808044273,65.3363301588192,35.350793840263,4.38205805196212,0.876642403794335,4.99868365139016,5.77230134003202e-07,1.27968628063052e-06
