"","C_1","C_2","S_1","S_2"
"ZMYND8",1370.76386832413,1211.34679189272,1720.62264111361,1722.16745223193
"CACNA2D2",2.64881906922537,6.56912576948328,3017.08482278893,2994.74585429732
"WDR12",719.154377294688,735.742086182127,2281.92331976957,2284.15376494012
"CNIH4",1201.23944789371,1187.69793912258,1817.2952546605,1813.44308154427
"C11orf68",2617.03324039467,2714.36276795049,341.726447886675,346.243916151755
"DPY19L4",1366.79063972029,1592.35608652275,1521.28221317971,1538.10750551945
"RPS29",887.354388190499,861.869300956206,2132.79269887166,2136.30233233501
"UQCRQ",838.35123540983,589.907494099599,2278.1763192445,2311.31015052065
"TRIB2",1458.17489760857,1453.0906202097,1558.75221843045,1542.63356978287
"PPP3CB",1381.35914460103,1680.38237183382,1474.07000656379,1476.25129391936
"ZNF131",1578.69616525832,1686.95149760331,1368.40459175673,1377.43222416798
"ZMAT2",1331.03158228575,1388.71318766877,1629.94522840684,1658.80255254403
"KCTD2",1385.33237320487,1478.05329813374,1571.49202021569,1572.80733153902
"SACM1L",1485.98749783543,1466.22887174867,1526.52801391482,1527.5466889048
"ADSS2",1113.82841860927,1370.31963551421,1757.34324625932,1760.63899847102
"DPP8",1707.16389011575,1849.86581668649,1226.01857180395,1217.51128686042
"VPS53",1492.6095455085,1432.06941774736,1534.77141506998,1540.37053765116
"SPIRE1",2120.37966491491,2071.90226769503,899.280126017565,904.458508640424
"DIXDC1",1764.1135001041,1533.2339545974,1348.17078892133,1350.27583858745
"TOB1",1901.85209170382,2081.0990437723,1006.44434103466,1006.29495456741
"IRF2BP2",670.151224514019,567.572466483355,2367.35493174124,2390.51627513053
"SPAST",732.398472640815,810.630119954237,2233.96171304863,2218.52583312051
"XYLT2",2152.16549374561,2192.77418185352,820.593114991028,829.778448293967
"GTSE1",337.724431326235,317.945687242991,2661.86917301199,2676.41266776999
"KIFC3",2466.05055344882,2313.64609601201,610.761085586929,601.966547035078
"SCG2",10.5952762769015,11.8244263850699,2981.86301785324,2987.95675790218
"GALNT6",2615.70883086005,2690.71391518035,343.225248096704,342.472195932237
"CHD1",859.541787963633,1158.79378573685,1983.66207797375,1989.20524377381
"SPOP",1413.14497343174,1294.11777658821,1643.4344302971,1638.43526335863
"ANXA4",2561.40803994093,2530.42724640496,445.893062483709,451.097738254356
"TLN2",1380.03473506642,1315.13897905055,1643.4344302971,1648.99607997328
"RAB22A",1981.31666378058,2062.70549161775,967.475535573897,973.103816635652
"MARCHF8",1929.66469193068,1975.99303146057,1034.1721449202,1038.73174845527
"UBAP2",1834.30720543857,1801.25428599232,1168.31476371782,1174.51367635791
"WDR75",896.625254932788,957.778537190662,2060.85028879025,2063.13096007636
"INTS8",1664.78278500815,1587.10078590716,1363.15879102163,1363.09968733382
"HEATR5B",1236.99850532825,1284.92100051093,1725.86844184871,1729.71089267097
"CYHR1",1858.1465770616,1991.75893330733,1058.15294828067,1068.90551021141
"MYO9A",2296.5261330184,2371.45440278346,658.722692307866,648.735877757101
"CDKN1B",1372.08827785874,1311.19750358886,1634.44162903692,1657.29386445622
