"","C_1","C_2","S_1","S_2"
"TMEM225B",18.2334728003724,19.3513931934165,3.0600606947001,3.84331353875407
"RASGRF2-AS1",19.5358637146847,16.7712074342943,3.82507586837513,3.84331353875407
"DEFB130C",0,0,14.5352882998255,14.6045914472655
"TGIF2-RAB5IF",0,1.2900928795611,14.5352882998255,13.8359287395147
"ISCA1P4",5.20956365724924,5.16037151824439,10.7102124314504,12.298603324013
"LINC02182",5.20956365724924,3.87027863868329,13.7702731261505,9.99261520076059
"OTULIN-DT",7.81434548587387,5.16037151824439,10.7102124314504,10.7612779085114
"MMP12",29.9549910291832,19.3513931934165,0,0
"LINC01482",16.93108188606,29.6721362299052,0.765015173675025,0.768662707750814
"TPTEP2-CSNK1E",20.838254628997,12.900928795611,4.59009104205015,4.61197624650489
"CDH1",20.838254628997,3.87027863868329,6.88513656307523,6.91796436975733
"LHB",1.30239091431231,11.6108359160499,11.4752276051254,9.22395249300977
"TSPAN1",18.2334728003724,21.9315789525387,2.29504552102508,2.30598812325244
"HVCN1",14.3263000574354,6.45046439780549,7.65015173675025,8.45528978525896
"PRAM1",13.0239091431231,12.900928795611,6.88513656307523,6.14930166200652
"RASGEF1C",0,0,15.3003034735005,13.0672660317638
"ATP13A2",0,0,11.4752276051254,16.9105795705179
"WDR64",10.4191273144985,14.1910216751721,6.88513656307523,6.91796436975733
"PLIN1",5.20956365724924,5.16037151824439,11.4752276051254,10.7612779085114
"ADAM29",1.30239091431231,1.2900928795611,13.7702731261505,13.0672660317638
"UGT3A2",1.30239091431231,2.58018575912219,13.0052579524754,13.0672660317638
"CT55",2.60478182862462,0,13.7702731261505,13.0672660317638
"KRT86",26.0478182862462,21.9315789525387,0,0
"NME6",7.81434548587387,11.6108359160499,6.1201213894002,10.7612779085114
"SULT1B1",0,0,13.7702731261505,14.6045914472655
"DES",19.5358637146847,25.8018575912219,0.765015173675025,0.768662707750814
"LCN15",0,0,13.0052579524754,15.3732541550163
"PTGER4P2",0,0,11.4752276051254,16.9105795705179
"FAM228A",5.20956365724924,15.4811145547332,9.18018208410031,6.91796436975733
"CRYM-AS1",3.90717274293693,10.3207430364888,9.94519725777533,9.99261520076059
"LINC00523",0,1.2900928795611,13.7702731261505,13.8359287395147
"ARL9",16.93108188606,6.45046439780549,7.65015173675025,6.91796436975733
"SLC28A3",19.5358637146847,23.2216718320997,1.53003034735005,1.53732541550163
"HLA-F-AS1",24.7454273719339,23.2216718320997,0,0
"LINC00393",1.30239091431231,0,13.7702731261505,13.8359287395147
"TPI1P1",11.7215182288108,10.3207430364888,4.59009104205015,10.7612779085114
"RPS7P10",6.51195457156155,3.87027863868329,13.7702731261505,8.45528978525896
"AGGF1P2",0,0,12.2402427788004,16.1419168627671
"LINC01637",18.2334728003724,29.6721362299052,0,0
"LINC02618",3.90717274293693,2.58018575912219,13.0052579524754,11.5299406162622
"HOXC-AS3",28.6526001148708,19.3513931934165,0,0
"LINC02334",28.6526001148708,16.7712074342943,0.765015173675025,0.768662707750814
"H3C1",1.30239091431231,5.16037151824439,11.4752276051254,13.0672660317638
"CDRT15P6",6.51195457156155,3.87027863868329,12.2402427788004,9.99261520076059
"H2AC16",0,0,14.5352882998255,13.8359287395147
"NDUFAF2P1",5.20956365724924,10.3207430364888,11.4752276051254,7.68662707750815
"SZRD1",0,11.6108359160499,9.94519725777533,10.7612779085114
"FAM83E",3.90717274293693,1.2900928795611,12.2402427788004,12.298603324013
"ANGPTL6",7.81434548587387,10.3207430364888,8.41516691042528,8.45528978525896
"IL19",1.30239091431231,1.2900928795611,13.0052579524754,13.0672660317638
"PADI1",28.6526001148708,15.4811145547332,0.765015173675025,0.768662707750814
"NECTIN4",2.60478182862462,5.16037151824439,11.4752276051254,11.5299406162622
"M1AP",11.7215182288108,14.1910216751721,6.1201213894002,6.14930166200652
"DUSP19",6.51195457156155,3.87027863868329,10.7102124314504,10.7612779085114
"C1QTNF7",16.93108188606,29.6721362299052,0,0
"CAGE1",0,1.2900928795611,14.5352882998255,12.298603324013
"LINC01973",0,0,14.5352882998255,13.0672660317638
"HCG9",9.11673640018618,10.3207430364888,6.88513656307523,9.22395249300977
"DUX4L9",0,0,13.7702731261505,13.8359287395147
"EDNRB-AS1",0,0,13.0052579524754,14.6045914472655
"LINC02816",0,0,14.5352882998255,13.0672660317638
"ABHD11-AS1",13.0239091431231,30.9622291094663,0.765015173675025,0.768662707750814
"LINC01068",2.60478182862462,0,13.7702731261505,12.298603324013
"TSPAN19",0,0,13.7702731261505,13.8359287395147
"BOK-AS1",28.6526001148708,11.6108359160499,2.29504552102508,1.53732541550163
"FAM157A",2.60478182862462,0,13.0052579524754,13.0672660317638
"DDX59-AS1",10.4191273144985,0,10.7102124314504,10.7612779085114
"ZNF426-DT",24.7454273719339,6.45046439780549,4.59009104205015,4.61197624650489
"CTSLP3",6.51195457156155,1.2900928795611,11.4752276051254,11.5299406162622
"LINC02767",14.3263000574354,14.1910216751721,4.59009104205015,6.14930166200652
"EIF4B",0,1.2900928795611,13.7702731261505,12.298603324013
"TIE1",6.51195457156155,2.58018575912219,10.7102124314504,10.7612779085114
"MLN",16.93108188606,20.6414860729776,2.29504552102508,2.30598812325244
"PTPN6",5.20956365724924,11.6108359160499,9.18018208410031,7.68662707750815
"C9",27.3502092005585,18.0613003138554,0,0
"KYNU",3.90717274293693,38.7027863868329,0.765015173675025,0.768662707750814
"NTS",0,0,13.0052579524754,13.8359287395147
"CH25H",23.4430364576216,19.3513931934165,0.765015173675025,0.768662707750814
"SLC5A11",1.30239091431231,1.2900928795611,12.2402427788004,13.0672660317638
"THAP8",0,0,19.1253793418756,7.68662707750815
"TGFA",32.5597728578078,12.900928795611,0,0
"TAFA4",0,0,13.7702731261505,13.0672660317638
"DSCAM",0,2.58018575912219,13.0052579524754,12.298603324013
"TAS1R1",27.3502092005585,15.4811145547332,0.765015173675025,0.768662707750814
"VWA3A",5.20956365724924,7.74055727736658,9.18018208410031,9.99261520076059
"DSCAML1",0,1.2900928795611,13.0052579524754,13.0672660317638
"USH1G",0,0,15.3003034735005,11.5299406162622
"GOLGA6L4",22.1406455433093,15.4811145547332,0.765015173675025,3.84331353875407
"PRR5",6.51195457156155,3.87027863868329,9.94519725777533,10.7612779085114
"TPRG1",2.60478182862462,10.3207430364888,9.18018208410031,9.99261520076059
"IQANK1",16.93108188606,18.0613003138554,3.0600606947001,3.07465083100326
"FGF7P3",1.30239091431231,2.58018575912219,16.8303338208506,7.68662707750815
"MUC12",16.93108188606,25.8018575912219,1.53003034735005,0
"DAP3P1",2.60478182862462,1.2900928795611,13.0052579524754,11.5299406162622
"LINC02798",10.4191273144985,9.03065015692768,7.65015173675025,7.68662707750815
"ZNF593OS",5.20956365724924,0,9.18018208410031,14.6045914472655
"CT75",5.20956365724924,3.87027863868329,9.94519725777533,11.5299406162622
"METTL21EP",20.838254628997,16.7712074342943,2.29504552102508,2.30598812325244
"LINC02099",16.93108188606,5.16037151824439,6.88513656307523,6.91796436975733
"STAM-AS1",13.0239091431231,1.2900928795611,9.18018208410031,9.22395249300977
"CEBPA-DT",0,5.16037151824439,11.4752276051254,12.298603324013
"VN1R83P",15.6286909717477,3.87027863868329,8.41516691042528,6.91796436975733
"DUX4L37",1.30239091431231,0,13.7702731261505,12.298603324013
"TFAP2D",0,0,12.2402427788004,13.8359287395147
"MSH4",15.6286909717477,15.4811145547332,3.82507586837513,3.84331353875407
"CAMK2A",22.1406455433093,21.9315789525387,0,0
"MAGEB2",0,0,13.0052579524754,13.0672660317638
"LHX6",1.30239091431231,0,12.2402427788004,13.0672660317638
"PTPN5",0,0,13.0052579524754,13.0672660317638
"HGD",27.3502092005585,9.03065015692768,2.29504552102508,2.30598812325244
"SOHLH2",0,0,11.4752276051254,14.6045914472655
"RAB17",22.1406455433093,14.1910216751721,2.29504552102508,2.30598812325244
"GNRH2",1.30239091431231,2.58018575912219,10.7102124314504,13.0672660317638
"PRRG2",15.6286909717477,6.45046439780549,6.1201213894002,6.91796436975733
"PEBP4",2.60478182862462,0,12.2402427788004,12.298603324013
"OASL",7.81434548587387,18.0613003138554,5.35510621572518,5.3806389542557
"KCNN3",1.30239091431231,0,13.0052579524754,12.298603324013
"PNLDC1",24.7454273719339,18.0613003138554,0.765015173675025,0
"PPP1R1C",22.1406455433093,1.2900928795611,6.1201213894002,6.14930166200652
"ITIH2",11.7215182288108,11.6108359160499,6.1201213894002,6.14930166200652
"TMEM163",0,0,14.5352882998255,11.5299406162622
"CATSPER3",5.20956365724924,12.900928795611,7.65015173675025,7.68662707750815
"SCRG1",6.51195457156155,1.2900928795611,11.4752276051254,9.99261520076059
"EVPL",0,0,13.0052579524754,13.0672660317638
"RAB24",6.51195457156155,5.16037151824439,9.18018208410031,9.99261520076059
"NR0B1",9.11673640018618,1.2900928795611,9.94519725777533,9.99261520076059
"NHLH1",3.90717274293693,7.74055727736658,9.94519725777533,9.22395249300977
"IHO1",16.93108188606,24.5117647116608,0.765015173675025,0.768662707750814
"GRAMD2A",19.5358637146847,9.03065015692768,4.59009104205015,4.61197624650489
"CFAP65",0,0,13.0052579524754,13.0672660317638
"CHST6",0,1.2900928795611,12.2402427788004,13.0672660317638
"PLGLB1",13.0239091431231,14.1910216751721,3.0600606947001,6.91796436975733
