ENSGene,Control_1,Control_2,SHSY5Y_1,SHSY5Y_2
ENSG00000007237,934,884,246,248
ENSG00000007255,0,0,0,0
ENSG00000007264,0,0,0,0
ENSG00000007306,0,0,0,0
ENSG00000007312,0,0,0,0
ENSG00000007314,0,0,1,1
ENSG00000007341,315,294,583,588
ENSG00000007350,0,0,3,3
ENSG00000007372,1,0,0,0
ENSG00000007376,481,587,1134,1142
ENSG00000007384,3977,3919,218,218
ENSG00000007392,1108,1038,3922,3886
ENSG00000007402,2,5,4026,3970
ENSG00000007516,5,6,31,28
ENSG00000007520,616,811,1152,1158
ENSG00000007541,775,849,1215,1200
ENSG00000007545,28,45,101,100
ENSG00000007866,3148,3049,434,424
ENSG00000007908,0,0,0,0
ENSG00000007923,1150,1136,2560,2522
ENSG00000007933,0,0,0,0
ENSG00000007944,1101,1038,502,500
ENSG00000007952,0,0,21,23
ENSG00000007968,38,47,1820,1805
ENSG00000008018,1862,1651,5131,5098
ENSG00000008056,26,26,204,200
ENSG00000008083,1194,1136,1644,1640
ENSG00000008086,433,464,1092,1085
ENSG00000008118,111,92,21,21
ENSG00000008128,4,3,15,20
ENSG00000008130,1582,1649,2298,2270
ENSG00000008196,0,0,14803,14763
ENSG00000008197,0,0,16,18
ENSG00000008226,5,12,0,0
ENSG00000008256,5885,5510,2049,2047
ENSG00000008277,13,33,7632,7608
ENSG00000008282,1397,1712,1170,1176
ENSG00000008283,870,794,12974,12858
ENSG00000008294,2604,2834,7657,7629
ENSG00000008300,384,291,5608,5557
ENSG00000008311,759,743,111,113
ENSG00000008323,46,44,10,10
ENSG00000008324,0,0,0,0
ENSG00000008382,43,38,344,353
ENSG00000008394,2795,2993,206,200
ENSG00000008405,729,777,751,749
ENSG00000008438,6,3,9,10
ENSG00000008441,9595,9104,1967,1866
ENSG00000008513,2524,2600,494,480
ENSG00000008516,0,2,2,2
ENSG00000008517,122,124,114,106
ENSG00000008710,6067,5875,5295,5206
ENSG00000008735,44,40,3688,3643
ENSG00000008838,1498,1482,3292,3260
ENSG00000008853,72,90,237,231
ENSG00000008869,934,978,2303,2293
ENSG00000008952,2295,2523,3272,3234
ENSG00000008988,5688,5179,22970,22921
ENSG00000009307,13993,15233,20868,20758
ENSG00000009335,3359,3337,5455,5414
ENSG00000009413,146,137,43,40
ENSG00000009694,0,7,151,145
ENSG00000009709,0,0,4,4
ENSG00000009724,0,1,6,6
ENSG00000009765,0,0,0,0
ENSG00000009780,302,324,320,309
ENSG00000009790,0,0,6,6
ENSG00000009830,1202,1200,1832,1818
ENSG00000009844,1095,1360,2567,2562
ENSG00000009950,0,0,37,41
ENSG00000009954,4067,4446,13983,13971
ENSG00000010017,1117,1282,1073,1049
ENSG00000010030,82,70,16,13
ENSG00000010072,284,303,828,831
ENSG00000010165,1182,1013,4904,4874
ENSG00000010219,0,1,57,55
ENSG00000010244,2927,2819,4815,4793
ENSG00000010256,2702,2729,4551,4526
ENSG00000010270,742,713,2538,2528
ENSG00000010278,2821,2850,188,186
ENSG00000010282,0,0,0,0
ENSG00000010292,1927,1768,7857,7783
ENSG00000010295,1300,1332,745,743
ENSG00000010310,31,17,42,40
ENSG00000010318,141,110,267,264
ENSG00000010319,7,8,45,45
ENSG00000010322,5753,5837,4374,4350
ENSG00000010327,3,1,2,2
ENSG00000010361,154,154,1287,1314
ENSG00000010379,3,0,3,3
ENSG00000010404,0,0,0,0
ENSG00000010438,5,3,27,24
ENSG00000010539,84,109,201,188
ENSG00000010610,68,88,28,28
ENSG00000010626,205,165,328,324
ENSG00000010671,0,0,0,0
ENSG00000010704,672,574,2,2
ENSG00000010803,768,820,994,1004
ENSG00000010810,1608,1600,2407,2398
ENSG00000010818,1865,2080,596,597
ENSG00000010932,7,10,2,2
ENSG00000011007,0,0,0,0
ENSG00000011009,937,1096,3998,3939
ENSG00000011021,1982,1869,1414,1407
ENSG00000011028,48886,48741,5486,5438
ENSG00000011052,14,16,54,53
ENSG00000011083,0,4,1,1
ENSG00000011105,4604,4505,1395,1388
ENSG00000011114,1793,1721,1916,1904
ENSG00000011132,335,407,483,466
ENSG00000011143,148,185,635,634
ENSG00000011198,600,686,742,730
ENSG00000011201,74,68,36,34
ENSG00000011243,1003,949,1131,1123
ENSG00000011258,323,345,3648,3628
ENSG00000011260,405,499,3097,3095
ENSG00000011275,2601,2556,3424,3424
ENSG00000011295,612,673,1557,1551
ENSG00000011304,7927,7824,17252,17163
ENSG00000011332,52,27,1123,1104
ENSG00000011347,41,52,1359,1344
ENSG00000011376,619,663,1374,1353
ENSG00000011405,1782,2165,3213,3199
ENSG00000011422,1170,1102,599,595
ENSG00000011426,762,899,4012,3994
ENSG00000011451,3150,2910,3565,3516
ENSG00000011454,2064,2274,2600,2580
ENSG00000011465,36255,37251,140,139
ENSG00000011478,506,529,285,285
ENSG00000011485,1528,1513,4369,4372
ENSG00000011523,73,75,203,207
ENSG00000011566,1301,1291,1840,1837
ENSG00000011590,7,6,17,16
ENSG00000011600,0,0,0,0
ENSG00000011638,552,518,127,127
ENSG00000011677,0,0,73,74
ENSG00000012048,202,157,2930,2913
ENSG00000012061,1283,1306,1469,1415
ENSG00000012124,1,0,0,0
ENSG00000012171,4253,3958,179,177
ENSG00000012174,738,884,2732,2710
ENSG00000012211,282,252,2,0
