"","C_1","C_2","S_1","S_2"
"FAM155B",0,0,286.101884839808,287.076318964548
"SCN1B",276.156312587015,213.770162776848,41.8500097505038,41.3389899308949
"FGGY",158.920142149131,169.720553477376,119.462755105984,124.782506643257
"FAT3",65.1312057988243,69.9611441815138,218.380959970811,218.178002413056
"BORCS6",169.341135076943,228.021506961971,84.4609287691987,89.567811516939
"KIF17",200.604113860379,208.587855800439,77.6127453554799,84.2090535629341
"TMEM132B",328.261277226074,238.386120914788,1.52181853638196,2.29661055171638
"PRDX6-AS1",171.946383308896,124.375367433802,135.441849737994,137.796633102983
"SLC30A3",0,0,287.62370337619,281.717561010543
"ASTN1",49.4997164071065,29.7982651143485,247.295512162068,242.675181631365
"WLS",192.78836916452,163.242669756866,111.853662424074,100.285327424949
"ZNF624",85.9731916544481,123.0797906897,178.81367802488,179.90115988445
"MIR31HG",286.577305514827,281.140153470157,0,0
"RHOBTB2",93.788936350307,116.60190696919,180.335496561262,176.839012482162
"AUNIP",70.3417022627302,50.5274930199822,223.707324848148,222.771223516489
"ZNF546",98.9994328142129,82.9169116225349,194.0318633887,190.61867579246
"ZSCAN5A",93.788936350307,145.104595339436,164.356401929251,163.059349171863
"PARD6A",18.2367376236708,12.9557674410211,266.318243866843,268.703434550817
"FUOM",155.012269801202,116.60190696919,148.377307297241,146.217538459276
"GSAP",138.078156293507,148.991325571742,136.202759006185,142.389854206416
"PAPLN",257.919574963344,261.706502308626,22.0663687775384,23.731642367736
"NOX4",190.183120932567,128.262097666109,121.745482910557,124.782506643257
"TBXAS1",9.1183688118354,7.77346046461265,271.644608744179,276.358803056538
"ZMAT1",14.3288652757413,34.9805720907569,258.709151184933,256.454844941663
"SVOP",0,0,286.101884839808,277.889876757682
"OLR1",265.735319659203,297.982651143485,0,0
"MROH6",164.130638613037,159.355939524559,123.267301446939,116.361601286963
"KCTD11",251.406454383462,278.548999981953,13.6963668274376,19.1384212643032
"LINC02615",200.604113860379,186.563051150704,87.5045658419626,87.2712009652226
"ZNF140",136.775532177531,111.419599992781,155.22549071096,157.700591217858
"SLC35E2A",131.565035713625,99.7594092958623,166.639129733824,163.059349171863
"GPR27",0,0,282.297338498853,278.655413608255
"LRRTM4",0,0,280.01461069428,279.420950458827
"SLC27A6",7.81574469585891,23.3203813938379,261.752788257697,266.4068239991
"LINC01547",95.0915604662835,107.532869760475,178.81367802488,176.839012482162
"NPIPB5",201.906737976355,186.563051150704,79.1345638918618,90.3333483675111
"APOBEC3F",230.564468527838,257.81977207632,32.7190985322121,36.7457688274621
"ZNF391",41.6839717112475,59.596530228697,229.033689725485,227.364444619922
"SYNDIG1",267.03794377518,283.731306958362,4.56545560914587,2.29661055171638
"SLC16A1-AS1",118.53879455386,103.646139528169,167.400039002015,167.652570275296
"GOLGA2P5",41.6839717112475,32.3894186025527,240.447328748349,242.675181631365
"C2orf76",115.933546321907,163.242669756866,136.963668274376,140.858780505272
"SH3TC2",282.669433166897,253.933041844013,9.89182048648273,9.95197905743766
"CARNMT1",217.538227368073,187.858627894806,73.808199014525,76.5536850572128
"SERGEF",128.959787481672,172.31170696558,129.354575592466,124.782506643257
"NEMP2",106.815177510072,123.0797906897,157.508218515533,167.652570275296
"FSTL5",22.1446099716003,28.5026883702464,248.81733069845,254.923771240519
"RNF39",191.485745048543,148.991325571742,106.527297546737,107.175159080098
"PRICKLE2",281.366809050921,255.228618588115,9.13091121829175,8.42090535629341
"WDR92",114.630922205931,99.7594092958623,171.20458534297,168.418107125868
"ARHGEF39",19.5393617396473,24.6159581379401,256.42642338036,253.392697539374
"ARG2",57.3154611029654,40.1628790671653,228.272780457294,228.129981470494
"PARS2",136.775532177531,167.129399989172,124.789119983321,124.782506643257
"PLEKHA8P1",95.0915604662835,91.9859488312497,194.792772656891,171.480254528157
"DHRS13",16.9341135076943,22.0248046497358,259.470060453124,254.158234389946
"C4orf33",125.051915133743,180.085167430193,122.506392178748,124.782506643257
"YBX2",0,2.59115348820422,271.644608744179,277.889876757682
"MEIOC",9.1183688118354,25.9115348820422,258.709151184933,257.985918642807
"STPG1",168.038510960967,125.670944177904,127.071847787894,130.906801447834
"SYCP2",50.8023405230829,81.6213348784328,209.250048752519,209.757097056763
"ABCB4",40.3813475952711,50.5274930199822,229.794598993676,230.42659202221
"DNAI4",237.07758910772,165.83382324507,72.286380478143,75.7881482066407
"TMEM121B",0,5.18230697640843,273.927336548752,271.765581953105
"BRF2",122.44666690179,155.469209292253,133.920031201612,138.562169953555
